Name;Latitude;Longitude
Mozambique, Gorongoza;-13.094695775;39.818043094
Mozambique, Nhamatanda;-19.270296935;34.208339984
Mozambique, Buzi;-19.883899861;34.596874136
Mozambique, Caia;-15.594110786;37.673789067
Mozambique, Angónia;-15.028889;34.505833
Mozambique, Mutarara;-17.453954948;35.079177981
Mozambique, Tete;-16.16;33.6
Mozambique, Changara;-16.825106433;33.273826679
Mozambique, Milange;-16.09720343;35.771039631
Mozambique, Alto Molócuè;-15.632507677;37.68461857
Mozambique, Mocuba;-16.839214924;36.985641941
Mozambique, Quelimane;-17.876;36.887
Sudan, National Average;4.843640;31.603360
Sudan, Rumbek;6.806390116;29.676748775
Sudan, Minkaman;6.054805906;31.51481783
Sudan, Bentiu;9.2480864;29.800398778
Sudan, Yida;10.102680837;30.092954021
Sudan, Rubkona;9.289423336;29.789508339
Sudan, Aniet;15.597380;32.534730
Sudan, Konyokonyo;4.834754; 31.608356
Sudan, Torit;4.413447342;32.568224324
Sudan, Kapoeta South;4.769101754;33.589969939
Sudan, Bor;6.21087416;31.561439652
Sudan, Akobo;7.792933764;33.002939578
Sudan, Aweil Town;8.769335254;27.396208439
Sudan, Kuajok;8.302420943;27.978944583
Sudan, Wunrok;8.992183618;28.303171936
Sudan, Jau;9.34722;28.58000
Sudan, Yambio;4.568071629;28.397669932
Sudan, Makpandu;4.750600;28.701407
Sudan, Malakal;9.538848766;31.658416763
Sudan, Bunj;9.963395508;33.725906052
Sudan, Suk Shabi;15.659300;32.470283
Sudan, Melut;10.441974535;32.20247386
